subject,body
"Sehr geehrter Nutzer,

auf Ihrem Konto wurde eine Transaktion festgestellt, die möglicherweise nicht von Ihnen stammt:

Betrag: 189,90 €  
Standort: Belgien  
Zeitpunkt: 02:47 Uhr  

Falls Sie diese Zahlung nicht autorisiert haben, stoppen Sie den Vorgang über:
https://transaktion-prüfen.com

Wir empfehlen dringend eine sofortige Überprüfung.

Ihr Sicherheitsteam"
"Ungewöhnliche Anmeldung – Bestätigung erforderlich",
"Sehr geehrter Nutzer,

wir haben eine Anmeldung auf Ihrem Konto festgestellt, die nicht Ihrem üblichen Standort entspricht:

Gerät: Windows-PC
Region: Warschau, Polen
Zeitpunkt: 03:12 Uhr

Wenn diese Anmeldung nicht von Ihnen stammt, sichern Sie Ihr Konto unter folgendem Link:
https://konto-sicherheit

prüfen.net/login

Bitte reagieren Sie zeitnah, um Missbrauch zu verhindern.

Ihr Sicherheitsteam"
"Zahlung fehlgeschlagen – Datenaktualisierung notwendig",
"Guten Tag,

Ihre letzte Zahlung konnte nicht verarbeitet werden. Dies kann an veralteten oder fehlerhaften Zahlungsdaten liegen.

Damit Ihre Bestellung nicht storniert wird, aktualisieren Sie bitte Ihre Angaben über folgenden gesicherten Link:
https://zahlung-aktualisieren.de/update

Sollte innerhalb der nächsten 24 Stunden keine Bestätigung erfolgen, wird die Bestellung automatisch abgebrochen.

Vielen Dank für Ihre Mithilfe."
"Betrugswarnung – ungewöhnliches Verhalten erkannt",
"Sehr geehrter Kunde,

auf Ihrem Konto wurde ein Verhalten festgestellt, das auf automatisierte Zugriffe hindeutet.
Aus Sicherheitsgründen wurde Ihr Konto vorübergehend eingeschränkt.

Um die Einschränkung aufzuheben, verifizieren Sie bitte Ihre Identität:
https://zugriff-verifizieren.net/check

Bitte beachten Sie, dass eine Nichtbestätigung zur dauerhaften Sperrung führen kann."
"Rückerstattung bereit – bitte Angaben bestätigen",
"Guten Tag,

Sie haben Anspruch auf eine Rückerstattung aus einem jüngsten Vorgang.
Um den Betrag auszuzahlen, benötigen wir eine kurze Bestätigung Ihrer Daten.

Nutzen Sie den folgenden Link, um die Überprüfung abzuschließen:
https://erstattung-aktivieren.com/refund

Die Rückerstattung verfällt automatisch nach 48 Stunden.

Ihr Abrechnungsteam"

"Dokument konnte nicht synchronisiert werden",
"Sehr geehrte Person,

ein von Ihnen freigegebenes Dokument konnte nicht synchronisiert werden, da eine Berechtigung abgelaufen ist.

Aktualisieren Sie die Freigabe über folgenden Link:
https://dokument-sync-service.net/verify

Ohne Aktualisierung wird der Zugriff für alle Teilnehmer deaktiviert."

"Sicherheitsprüfung erforderlich – verdächtiges Gerät verbunden",
"Hallo,

ein neues Gerät wurde mit Ihrem Konto verknüpft:

Gerät: Android-Smartphone
Standort: Rumänien
Zeitpunkt: 01:36 Uhr

Falls dies nicht von Ihnen stammt, müssen Sie die Verbindung sofort trennen:
https://gerät-trennen.com/remove

Diese Maßnahme schützt Ihr Konto vor unbefugtem Zugriff."

"Versandbestätigung nicht möglich – Daten unvollständig",
"Guten Tag,

wir konnten Ihre Versandbestätigung nicht erstellen, da die hinterlegte Adresse unvollständig ist.

Bitte überprüfen Sie Ihre Angaben und korrigieren Sie diese hier:
https://adresse-aktualisieren.de/edit

Solange die Angaben fehlen, wird Ihre Bestellung nicht versendet."

"Kontoaktivität widersprüchlich – erneute Überprüfung nötig",
"Sehr geehrter Kunde,

wir haben widersprüchliche Aktivitäten auf Ihrem Konto festgestellt.
Um die Sicherheit zu gewährleisten, ist eine erneute Identitätsprüfung erforderlich.

Beginnen Sie die Überprüfung unter:
https://ident-erneuern.com/start

Der Vorgang dauert nur wenige Minuten."

"Neue Nachricht im Kundenportal – Zugriff erforderlich",
"Hallo,

Sie haben eine neue Mitteilung in Ihrem Kundenportal.
Aus Datenschutzgründen kann der Inhalt nicht direkt per E-Mail angezeigt werden.

Rufen Sie die Nachricht hier ab:
https://kundenportal-nachricht.de/login

Die Mitteilung wird nach 72 Stunden automatisch archiviert."
"Abonnement läuft aus – letzte Chance zur Verlängerung",
"Sehr geehrter Abonnent,

Ihr aktuelles Abonnement endet in Kürze.
Um Unterbrechungen zu vermeiden, verlängern Sie bitte rechtzeitig über folgenden Link:

https://abo-verlängern.com/renew

Nach Ablauf der Frist wird das Konto automatisch deaktiviert."
